,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),compliance_rate,compliance_rate (instance)
l-SVM,0.779 ± 0.05,0.711 ± 0.05,0.551 ± 0.09,0.619 ± 0.06,0.838 ± 0.05,1.2 ± 0.45,1.8 ± 1.3,0.85 ± 0.34,9.0 ± 9.3,44.6 ± 25.52,0.164 ± 0.13,0.15 ± 0.34,0.836 ± 0.13
r-SVM,0.781 ± 0.05,0.759 ± 0.06,0.48 ± 0.05,0.587 ± 0.05,0.838 ± 0.05,1.8 ± 1.3,1.8 ± 1.3,1.0 ± 0.0,14.2 ± 11.92,44.6 ± 25.52,0.28 ± 0.12,0.0 ± 0.0,0.72 ± 0.12
RogReg,0.782 ± 0.05,0.731 ± 0.06,0.53 ± 0.06,0.612 ± 0.05,0.841 ± 0.05,1.8 ± 1.3,1.8 ± 1.3,1.0 ± 0.0,11.4 ± 9.61,44.6 ± 25.52,0.226 ± 0.13,0.0 ± 0.0,0.774 ± 0.13
RuleFit-d,0.784 ± 0.04,0.742 ± 0.05,0.521 ± 0.06,0.61 ± 0.04,0.816 ± 0.05,1.2 ± 0.45,1.8 ± 1.3,0.85 ± 0.34,8.6 ± 8.76,44.6 ± 25.52,0.157 ± 0.12,0.15 ± 0.34,0.843 ± 0.12
RuleFit,0.733 ± 0.04,0.602 ± 0.08,0.553 ± 0.06,0.572 ± 0.04,0.795 ± 0.03,1.8 ± 1.3,1.8 ± 1.3,1.0 ± 0.0,12.6 ± 9.29,44.6 ± 25.52,0.263 ± 0.1,0.0 ± 0.0,0.737 ± 0.1
RF-d,0.742 ± 0.05,0.628 ± 0.09,0.558 ± 0.08,0.583 ± 0.04,0.772 ± 0.05,1.8 ± 1.3,1.8 ± 1.3,1.0 ± 0.0,10.0 ± 4.64,44.6 ± 25.52,0.238 ± 0.08,0.0 ± 0.0,0.762 ± 0.08
RF,0.782 ± 0.04,0.715 ± 0.07,0.568 ± 0.08,0.627 ± 0.03,0.833 ± 0.04,1.6 ± 0.89,1.8 ± 1.3,0.95 ± 0.11,11.6 ± 8.26,44.6 ± 25.52,0.243 ± 0.08,0.05 ± 0.11,0.757 ± 0.08
l-SVM-p,0.325 ± 0.05,0.325 ± 0.05,1.0 ± 0.0,0.489 ± 0.06,0.251 ± 0.05,0.0 ± 0.0,1.8 ± 1.3,0.0 ± 0.0,0.0 ± 0.0,44.6 ± 25.52,0.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
r-SVM-p,0.721 ± 0.05,0.55 ± 0.04,0.781 ± 0.06,0.645 ± 0.04,0.821 ± 0.05,0.4 ± 0.55,1.8 ± 1.3,0.15 ± 0.22,3.6 ± 5.13,44.6 ± 25.52,0.051 ± 0.07,0.85 ± 0.22,0.949 ± 0.07
LogReg-p,0.766 ± 0.05,0.761 ± 0.1,0.42 ± 0.06,0.538 ± 0.06,0.828 ± 0.05,1.8 ± 1.3,1.8 ± 1.3,1.0 ± 0.0,16.2 ± 11.97,44.6 ± 25.52,0.334 ± 0.09,0.0 ± 0.0,0.666 ± 0.09
RuleBase,0.325 ± 0.05,0.325 ± 0.05,1.0 ± 0.0,0.489 ± 0.06,0.5 ± 0.0,0.0 ± 0.0,1.8 ± 1.3,0.0 ± 0.0,0.0 ± 0.0,44.6 ± 25.52,0.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
